epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds,learning_rate,timestamp
1,1.335983395576477,0.49631819128990173,1.3266589641571045,0.49663636088371277,72.2,0.0019000000320374966,2025-06-02T12:01:58.518174
2,1.1768035888671875,0.5495454668998718,1.160091757774353,0.5529090762138367,13.31,0.0018050000071525574,2025-06-02T12:02:11.976299
3,1.141283631324768,0.564616858959198,1.1344290971755981,0.5669090747833252,11.6,0.0017147499602288008,2025-06-02T12:02:23.739544
4,1.1174626350402832,0.5774415731430054,1.1459259986877441,0.5700454711914062,12.52,0.0016290125204250216,2025-06-02T12:02:36.427436
5,1.0975781679153442,0.5909610390663147,1.1261457204818726,0.5821818113327026,10.12,0.0014701838372275233,2025-06-02T12:02:46.711595
6,1.0682601928710938,0.6057013273239136,1.1509613990783691,0.5780454277992249,12.43,0.0013966745464131236,2025-06-02T12:02:59.307361
7,1.0393797159194946,0.6197337508201599,1.1509677171707153,0.5799545645713806,13.8,0.0013268408365547657,2025-06-02T12:03:13.276266
8,1.0084043741226196,0.632370114326477,1.1856735944747925,0.5791363716125488,10.48,0.0012604986550286412,2025-06-02T12:03:23.934250
9,0.9695128798484802,0.6465064883232117,1.2094707489013672,0.5834545493125916,13.78,0.001197473844513297,2025-06-02T12:03:37.889964
10,0.9249691367149353,0.6638960838317871,1.3251463174819946,0.5725454688072205,15.47,0.0010807201033458114,2025-06-02T12:03:53.518653
11,0.8712685704231262,0.6842597126960754,1.3402674198150635,0.5793636441230774,9.67,0.0010266840690746903,2025-06-02T12:04:03.367336
12,0.8039330840110779,0.7079675197601318,1.5819549560546875,0.569454550743103,13.19,0.0009753498015925288,2025-06-02T12:04:16.733694
13,0.7254554033279419,0.7356493473052979,1.7522408962249756,0.5588181614875793,11.44,0.0009265823173336685,2025-06-02T12:04:28.356252
