epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_seconds,learning_rate,timestamp
1,2.4380335807800293,0.18497402966022491,2.11149525642395,0.27509090304374695,7.49,0.0010000000474974513,2025-06-02T12:11:01.810444
2,2.0859339237213135,0.2727077901363373,1.9494129419326782,0.31531816720962524,3.01,0.0010000000474974513,2025-06-02T12:11:04.851183
3,1.9955198764801025,0.30161038041114807,1.8775168657302856,0.33859091997146606,2.58,0.0010000000474974513,2025-06-02T12:11:07.461474
4,1.9428718090057373,0.3167857229709625,1.823364496231079,0.35836362838745117,1.41,0.0010000000474974513,2025-06-02T12:11:08.902883
5,1.9096028804779053,0.3325194716453552,1.7986905574798584,0.3661818206310272,1.27,0.0010000000474974513,2025-06-02T12:11:10.204117
6,1.8846856355667114,0.3423376679420471,1.7711873054504395,0.378318190574646,1.3,0.0010000000474974513,2025-06-02T12:11:11.533137
7,1.8710336685180664,0.3472142815589905,1.762213110923767,0.3755454421043396,1.78,0.0010000000474974513,2025-06-02T12:11:13.340893
8,1.863369345664978,0.3515259623527527,1.7678062915802002,0.3755909204483032,2.46,0.0010000000474974513,2025-06-02T12:11:15.841198
9,1.8586785793304443,0.35431817173957825,1.7544742822647095,0.3824545443058014,2.27,0.0010000000474974513,2025-06-02T12:11:18.142651
10,1.8521627187728882,0.3547467589378357,1.7556880712509155,0.37963637709617615,1.27,0.0010000000474974513,2025-06-02T12:11:19.441996
11,1.851683259010315,0.35466232895851135,1.749537467956543,0.384409099817276,1.0,0.0010000000474974513,2025-06-02T12:11:20.472204
12,1.8544611930847168,0.35566234588623047,1.749060869216919,0.3867727220058441,2.08,0.0010000000474974513,2025-06-02T12:11:22.585693
13,1.8449654579162598,0.3590519428253174,1.7507071495056152,0.38613635301589966,1.28,0.0010000000474974513,2025-06-02T12:11:23.896945
14,1.8434417247772217,0.3584090769290924,1.7482942342758179,0.3840909004211426,1.84,0.0010000000474974513,2025-06-02T12:11:25.774621
15,1.8424190282821655,0.3599740266799927,1.7477896213531494,0.38377273082733154,2.99,0.0010000000474974513,2025-06-02T12:11:28.796552
16,1.8415052890777588,0.36053895950317383,1.7424802780151367,0.3860909044742584,2.1,0.0010000000474974513,2025-06-02T12:11:30.939244
17,1.8419941663742065,0.3594285845756531,1.7534087896347046,0.3787272870540619,1.31,0.0007000000332482159,2025-06-02T12:11:32.289313
18,1.815301775932312,0.36601948738098145,1.7208844423294067,0.38818180561065674,1.08,0.0007000000332482159,2025-06-02T12:11:33.399954
19,1.8066022396087646,0.36662986874580383,1.7159925699234009,0.39177271723747253,1.45,0.0007000000332482159,2025-06-02T12:11:34.878396
20,1.7953782081604004,0.36879220604896545,1.7011617422103882,0.3915909230709076,2.25,0.0007000000332482159,2025-06-02T12:11:37.179995
21,1.7931244373321533,0.3692597448825836,1.7054942846298218,0.3926818072795868,1.95,0.0007000000332482159,2025-06-02T12:11:39.160744
22,1.7900553941726685,0.36864936351776123,1.7052298784255981,0.3901818096637726,2.55,0.0007000000332482159,2025-06-02T12:11:41.744336
23,1.7865846157073975,0.3688441514968872,1.7085092067718506,0.3896818161010742,3.06,0.0007000000332482159,2025-06-02T12:11:44.858885
24,1.7874032258987427,0.36762985587120056,1.6940511465072632,0.3965454399585724,2.2,0.0007000000332482159,2025-06-02T12:11:47.095852
