SNR,Accuracy
-20.0,0.09422903516681695
-18.0,0.09290382819794585
-16.0,0.0975268315445637
-14.0,0.11578471279963817
-12.0,0.11443898077782745
-10.0,0.16513339466421342
-8.0,0.26730857404860153
-6.0,0.3786063027075011
-4.0,0.4759982054733064
-2.0,0.5805084745762712
0.0,0.6260047281323877
2.0,0.6368597816960537
4.0,0.6331305568554048
6.0,0.6309523809523809
8.0,0.6211494252873563
10.0,0.6420480289986407
12.0,0.6597125637459434
14.0,0.6230907457322552
16.0,0.6180124223602484
18.0,0.6223900488671702
