SNR,Accuracy
-20.0,0.09558160504959423
-18.0,0.09990662931839403
-16.0,0.12552496500233318
-14.0,0.17141564902758932
-12.0,0.21546714349575324
-10.0,0.29438822447102114
-8.0,0.4346629986244842
-6.0,0.5836662228140257
-4.0,0.7124270973530731
-2.0,0.8347457627118644
0.0,0.8695035460992908
2.0,0.8929471032745592
4.0,0.9003275620028077
6.0,0.9038461538461539
8.0,0.8997701149425288
10.0,0.9043951064793838
12.0,0.9123783031988874
14.0,0.9047619047619048
16.0,0.9032830523513753
18.0,0.9031541537094625
