SNR,Accuracy
-20.0,0.08385933273219116
-18.0,0.08029878618113913
-16.0,0.09379374708352776
-14.0,0.09633649932157395
-12.0,0.09164059007599464
-10.0,0.11085556577736891
-8.0,0.17148097203117835
-6.0,0.23524189968930315
-4.0,0.27949753252579634
-2.0,0.3380414312617702
0.0,0.3304964539007092
2.0,0.3459277917716205
4.0,0.33504913430042116
6.0,0.33974358974358976
8.0,0.3140229885057471
10.0,0.3411871318531944
12.0,0.35558646267964766
14.0,0.3252470799640611
16.0,0.3105590062111801
18.0,0.3434029320302088
