SNR,Accuracy
-20.0,0.09693417493237151
-18.0,0.09757236227824463
-16.0,0.08492767148856743
-14.0,0.10673903211216644
-12.0,0.10058113544926241
-10.0,0.15593376264949402
-8.0,0.23521320495185694
-6.0,0.31069684864624947
-4.0,0.32794975325257963
-2.0,0.3394538606403013
0.0,0.3399527186761229
2.0,0.3434089000839631
4.0,0.3219466541881142
6.0,0.3241758241758242
8.0,0.3351724137931035
10.0,0.32487539646579067
12.0,0.3444598980064905
14.0,0.35489667565139266
16.0,0.3433895297249335
18.0,0.3482896490448689
