SNR,Accuracy
-20.0,0.08746618575293057
-18.0,0.08590102707749767
-16.0,0.09799346710219319
-14.0,0.10854816824966079
-12.0,0.10773357174787662
-10.0,0.11821527138914444
-8.0,0.13709307657038056
-6.0,0.16600088770528185
-4.0,0.1933602512337371
-2.0,0.2226930320150659
0.0,0.21229314420803783
2.0,0.244752308984047
4.0,0.24145999064108564
6.0,0.24725274725274726
8.0,0.2386206896551724
10.0,0.25419120978704124
12.0,0.2568382012053778
14.0,0.2376460017969452
16.0,0.22582076308784382
18.0,0.2558862727676588
