SNR,Accuracy
-20.0,0.09017132551848513
-18.0,0.08403361344537816
-16.0,0.09799346710219319
-14.0,0.11352329262777024
-12.0,0.12114438980777828
-10.0,0.19779208831646733
-8.0,0.28427326914259515
-6.0,0.3883710608078118
-4.0,0.458950201884253
-2.0,0.5630885122410546
0.0,0.5995271867612293
2.0,0.6414777497900923
4.0,0.6452971455311184
6.0,0.6561355311355311
8.0,0.6335632183908046
10.0,0.6438604440416855
12.0,0.6569309225776542
14.0,0.6370170709793351
16.0,0.6118012422360248
18.0,0.6241670368725011
