SNR,Accuracy
-20.0,0.09332732191163211
-18.0,0.0873015873015873
-16.0,0.09892673821745217
-14.0,0.11080958842152872
-12.0,0.1166741171211444
-10.0,0.16927322907083717
-8.0,0.27556166895919304
-6.0,0.37283621837549935
-4.0,0.47240915208613726
-2.0,0.5861581920903954
0.0,0.6217494089834515
2.0,0.6393786733837111
4.0,0.6378100140383716
6.0,0.6346153846153846
8.0,0.624367816091954
10.0,0.6429542365201631
12.0,0.6620305980528511
14.0,0.6352201257861635
16.0,0.6188997338065662
18.0,0.6246112838738338
